Date;Pre-Prod No.;Product Code;Category;New Mould/ Client or Product;Status;Project Description;Client;Sales Rep;Unit Order No;Order Qty x1000;Product Material Colour (tube,jar etc.);Length;Material;Orifice;Diameter;Tube Shoulder colour;Cap/Lid Colour;Cap/Lid Diameter;Cap/Lid style;Cap/Lid Material;Other Cap/Lid info; Dust Controlled Area;Artwork required;Artwork Received;Ordered Plates;Plates Arrived;Sent on Trial;Trial approved;Machine;Comments;Weeks Taken (or parts thereof);Open or closed;Completion date;Project Age (Days taken Open Projects);Age Category;Project Age (Open and Closed);Proof Approved (Conventional);Proof Approved (Digital);Masterbatch requested;Masterbatch received;Injection trial requested;Injection trial received;Blowmould trial requested;Blowmould trial received;Extrusion requested;Extrusiuon received;Digital trial sent;Digital trial received (actual dates have replaced crosses for latest trials);Year;Month;Month Name
2011-06-07;7938;C50TBINC063F;Tube;-;Order;One & All Hand Cream 250Ml T&C Ld lt pink 48 B/On nat ;Inco Labs;Linda;81558;5;;180;COEX;10;50;;Nat;48;B/O;-;48 B/On Nat;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;5;Closed;2011-07-07;;;;;;;;;;;;;;;;;;,
2011-07-04;7939;CCAP4SHZ021W;Tube;-;Order;Energising Sh/Gel 200Ml Belle T&C Coex prl Blue 48B/On Prl Blue;SH'ZEN;Mark K;81779;10;;160;COEX;10;50;;Prl Blue;48;B/O;-;48 B/On Prl Blue;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;7;Closed;2011-08-16;;;;;;;;;;;;;;;;;;,
2011-07-04;7940;CCAP3SHZ021W;Tube;-;Order;Energising Sh/Gel 75Ml Belle T&C Coex prl Blue 38B/On Prl Blue;SH'ZEN;Mark K;81784;10;;90;COEX;10;40;;Prl Blue;38;B/O;-;38 B/On Prl Blue;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;7;Closed;2011-08-16;;;;;;;;;;;;;;;;;;,
2011-07-04;7941;CCAP3SHZ022W;Tube;-;Order;Perfumed Crm Body 40Ml T&C Belle Coex prl Blue 33 B/On Prl Blue;SH'ZEN;Mark K;81807;10;;85;COEX;10;35;;Prl Blue;33;B/O;-;33 B/On Prl Blue;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;9;Closed;2011-08-31;;;;;;;;;;;;;;;;;;,
2011-07-04;7942;#N/A;Tube;-;Order;Tube & Cap Tinted Wh  38 B/On Tint wh fugi;;Trevor;;;;120;LDPE;10;40;;TnT Wh;38;B/O;-;38 B/On TnT Wh Fugi;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;2;Closed;2011-07-13;;;;;;;;;;;;;;;;;;,
2011-07-04;7943;CCAPOBRI058F;Cap;-;Order;OSH TnT Pink Cap;Britec Labs;Andrew;82504;10;;-;-;-;;;;;-;-;;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;6;Closed;2011-08-10;;;;;;;;;;;;;;;;;;,
2011-07-05;7944;#N/A;Digital Laminate;-;No order;Tube 35x175/6 ABL White Unptd;Bowler JHB;Linda;;;;175;ABL;6;35;;;;-;-;;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;9;Closed;2011-08-31;;;;;;;;;;;;;;;;;;,
2011-07-05;7945;#N/A;Digital Laminate;-;No order;Tube 40X 120/8 PBL White Unptd;Avroy Shlain;Linda;;;;120;PBL;8;40;;;;-;-;;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;9;Closed;2011-08-31;;;;;;;;;;;;;;;;;;,
2011-07-05;7946;#N/A;Digital Laminate;-;No order;Tube 35X90/4m PBL White Unptd;Inco Labs;Linda;;;;90;PBL;4;35;;;;-;-;;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;9;Closed;2011-08-31;;;;;;;;;;;;;;;;;;,
2011-07-05;7947;#N/A;Digital Laminate;-;No order;Tube 40X 120/8 PBL White Unptd;Inco Labs;Linda;;;;120;PBL;8;40;;;;-;-;;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;9;Closed;2011-08-31;;;;;;;;;;;;;;;;;;,
2011-07-05;7948;C50TBJUS116F;Tube;-;Order;Ultrasun Water Resit Lotion SPF40 T&C Coex Met Yell 48 B/On M Yell fugi;Prime Products;Linda;81795;9,7;;120;COEX;10;50;;Met Yell;48;B/O;-;48 B/On Met yel Fugi;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;2;Closed;2011-07-15;;;;;;;;;;;;;;;;;;
2011-07-06;7949;C35TBJUS081F;Tube;-;Order;Tissue Oil Skin Repair F/Crm SPF20 50ML T&C Coex prl Wh 33 B/on Prl wh emb Fugi;Le-Sel;Linda;83085;20;;100;COEX;10;35;;White;33;B/O;-;33 B/On Prl Wh Emb Fugi;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;17;Closed;2011-10-26;;;;;;;;;;;;;;;;;;,
2011-07-05;7950;CCAP3JUS061W;Tube;-;Order;Tissue Oil Nourish Body Prot 150Ml T&C Coex Prl Wh 38B/On Prl wh emb fug;Le-Sel;Linda;83083;20;;160;COEX;10;40;;White;38;B/O;-;38 B/On Prl Wh Emb Fugi;;;#N/A;#N/A;#N/A;1900-01-00;1900-01-00;-;Awtg new artwork ex J&J;11;Closed;2011-09-13;;;;;;;;;;;;;;;;;;,
