Pre-Prod No.;Client;Description;Date Sent on Proof;Proof Approved (Digital);Size of Eyemark;Artwork Received;Revised Artwork After Trialling;comments;
13353;Mosaic;Pink Diamond Luxury Body Cream Xmas 2018;08.12.17;02.01.2018;8X3;;;;
13364;Silverlabs;Sport Chafing Repair 75ml;20.12.17;21.12.2017;8X3;;;;
13368;Lamicare;Dermikelp GCC 100Gm;11.01.18;23.01.2018;8X3;;;;
13315;Dischem;Hand Balm 125ml;17.01.18;18.01.2018;8X3;;17.01.2018;Trials were done but customer send in new artwork afterwards. New proof send;
13316;Dischem;Heel Balm 125ml;17.01.18;18.01.2018;8X3 ;;17.01.2018;Trials were done but customer send in new artwork afterwards. New proof send;
13392;Pepper Tree Packaging;Fynbos Body Lotion 150ml;18.01.18;19.01.2018;8X3;;;;
13393;Pepper Tree Packaging;Fynbos Shower Gel 150ml;18.01.18;19.01.2018;8X3;;;;
13394;Pepper Tree Packaging;Fynbos Hand and Nail Cream 50ml;18.01.18;19.01.2018;8X3;;;;
13387;Kool a Chem;Kool A Sun Sunscreen SPF40 - 150ml;22.01.18;23.01.2018;8X3;;;;
13360;Canway;DR Sole Rough Skin Foot Scrub 100ml;23.01.18;29.01.2018;8X3;;23.01.2018;Had to resend due to changes requested by Fritz on foil. 1st off proof send and approved, trial done and send. Customer send new changes on job through, new proof submitted;
13421;Prime Products;Pure Lemon and Glycerine Hand Cream 100ml;26.01.18;02.02.2018;8X3;;;;
13414;Lee-Chem;Pure Aloe Vera and Vitamin E Hand Cream 100ml;29.01.18;30.01.2018;8X3;;;;
13418;Canway;Pure Softening Heel Cream 50ml;29.01.18;30.01.2018;8X3;;;;
13419;Canway;Avroy Pure Mint Oil Moisturising Foot Lotion 125ml;29.01.18;30.01.2018;8X3;;;;
13420;Canway;Avroy Pure Mint Oil Rough Skin Remover 125ml;29.01.18;30.01.2018;8X3;;;;
15871;Lycoderm;KP Wash 150ml;24.08.20;07.09.2020;8X3;;24.08.2020;Fritz asked for the second eye mark to be adjusted;
13396;Indigo Cosmetics;Exclamation Body Lotion 125ml;30.01.18;13.02.2018;8X3;;;;
13397;Indigo Cosmetics;Exclamation Diva Body Lotion 125ml;30.01.18;13.02.2018;8X3;;;Originally send for approval on the 31.01.2018, customer requested change on artwork resend on the 08.02.2018;
13401;CT Toiletry Co;Yours Sincerely Vanilla & Rose Blossom - 75ml;30.01.18;01.02.2018;8X3;;;;
13402;CT Toiletry Co;Yours Sincerely Vanilla & Fig - 75ml;30.01.18;01.02.2018;8X3;;;;
13403;CT Toiletry Co;Yours Sincerely Vanilla & Coconut 75ml;30.01.18;01.02.2018;8X3;;;;
13409;Aloe Ferox;Aloe Ferox Eye Cream 30ml;31.01.18;06.02.2018;8X2;23.01.2018;;;
13411;Aloe Ferox;Aloe Ferox Super Aloe Gel 150ml;31.01.18;06.02.2018;8X2;23.01.2018;;;
13410;Aloe Ferox;Aloe Ferox Universal 50ml;02.02.18;06.02.2018;8X3;23.01.2018;;;
13435;Charisma Candles;Botanique Jardin Hand and Nail  - 100ml;05.02.18;06.02.2018;8X3;26.01.2018;;;
13429;Matrix Advertising and Communications;Argan Green Hand & Nail Cream - 100ml;12.02.18;13.02.2018;8X3;12.02.2018;12.02.2018;1st artwork received 24.01.2018. 1st off proof done on the 30.01.2018, trial was done and send and then customer revised artwork. New proof send.;
13448;Aloe Ferox;Super Aloe Gel 75ml;14.02.18;15.02.2018;8X3;11.04.2018;;;
13339;Natures Colours;W Honey 60g;15.02.18;22.02.2018;8X3;15.02.2018;;;
13450;Mosaic;WW Marakech Balm 50ml ;15.02.18;01.03.2018;8X3;08.02.2018;;;
13451;Mosaic;WW Marakech Shower Gel 50ml ;15.02.18;01.03.2018;8X3;08.02.2018;;;
13452;Mosaic;WW Summit Shower Gel 50ml  ;15.02.18;02.03.2018;8X3;08.02.2018;;;
13453;Mosaic;WW Summit Balm 50ml  ;15.02.18;02.03.2018;8X3;08.02.2018;;;
13454;Mosaic;WW Summit Balm 50ml  ;15.02.18;02.03.2018;8X3;08.02.2018;;;
13455;Mosaic;WW Blue Shower Gel 50ml  ;15.02.18;02.03.2018;8X3;08.02.2018;;;
13470;MRL Private Collection;Instant Hand Sanitiser 30ml;21.02.18;04.04.2018;8X2;21.02.2018;;;
13416;Dermal Health Sciences;Dermdefence SPF50 50ml;27.02.18;02.03.2018;8X3;27.02.2018;27.02.2018;1st off proof done on the 30.01.2018, trial was done and send and then customer revised artwork. New proof send.;
13467;Charisma Candles;Poetry Avo and Cucumber 100ml;28.02.18;01.03.2018;8X3;21.02.2018;;;
13483;CT Toiletry Co;Unwind Milk Hand and Nail 50ml;01.03.18;12.03.2018;8X3;27.02.2018;;;
13484;CT Toiletry Co;Unwind Milk Body Butter 50ml;01.03.18;08.03.2018;8X3;27.02.2018;;;
13485;CT Toiletry Co;Unwind Silk Shower Cream 50ml;01.03.18;08.03.2018;8X3;27.02.2018;;;
13486;CT Toiletry Co;Unwind Cashmere Hand and Nail 50ml;01.03.18;08.03.2018;8X3;27.02.2018;;;
13487;CT Toiletry Co;Unwind Milk Shower Cream 50ml;01.03.18;08.03.2018;8X3;27.02.2018;;;
13488;CT Toiletry Co;Unwind Silk Body Butter 50ml;01.03.18;08.03.2018;8X3;27.02.2018;;;
13489;CT Toiletry Co;Unwind Silk Hand and Nail 50ml;01.03.18;08.03.2018;8X3;27.02.2018;;;
13490;CT Toiletry Co;Unwind Cashmere Body Butter 50ml;01.03.18;08.03.2018;8X3;27.02.2018;;;
13491;CT Toiletry Co;Unwind Cashmere Shower Cream 50ml;01.03.18;08.03.2018;8X3;27.02.2018;;;
13514;Saradox;GS XXTra Care and Repair Intence Beauty Sentrum 60ml;05.03.18;06.03.2018;8X3;21.02.2018;;;
13492;Aerosol & Cosm.;WW Chateau Granville Body Crème 125ml;07.03.18;14.03.2018;8X3;05.03.2018;;;
13493;Aerosol & Cosm.;WW Chateau Granville Shower Crème 125ml;07.03.18;14.03.2018;8X3;05.03.2018;;;
13494;Aerosol & Cosm.;WW Midnight Bloom Mothers Day Hand and Nail Cream 125ml;07.03.18;08.03.2018;8X3;05.03.2018;;;
13515;Xenocorp;Tropicare Skin Ease 25ml;08.03.18;12.03.2018;8X3;06.03.2018;;;
13527;Prime Products;Miss Gironky Body Lotion 150ml;08.03.18;12.03.2018;8X3;22.02.2018;;;
13533;Cre'me Classique;Skin Barrier Cream 100ml;12.03.18;15.03.2018;8X2,5;19.02.2018;;;
13534;Cre'me Classique;Heel Balm With 20% Urea 100ml;12.03.18;15.03.2018;8X2,5;19.02.2018;;;
13535;Cre'me Classique;Hand And Body Cream 20ml;12.03.18;15.03.2018;8X2,5;19.02.2018;;;
13545;Bio Earth Man.;Shampoo And Body Wash 100ml;14.03.18;15.03.2018;8X3;14.03.2018;;;
13559;Creighton Prod.;Everyday Mini  Hand and Nail Fresh Green 25ml;16.03.18;29.03.2018;8X3;14.03.2018;;;
13560;Creighton Prod.;Everyday Mini  Hand and Nail Hand Dream Lilac 25ml;16.03.18;29.03.2018;8X3;14.03.2018;;;
13561;Creighton Prod.;Everyday Mini  Hand and Nail Calm Oatmeal 25ml;16.03.18;29.03.2018;8X3;14.03.2018;;;
13562;Creighton Prod.;Everyday Mini Hand and Nail Energy Pink 25ml;16.03.18;29.03.2018;8X3;14.03.2018;;;
13563;Creighton Prod.;Everyday Mini Hand and Nail Awake Yellow 25ml;16.03.18;29.03.2018;8X3;14.03.2018;;;
13436;Allied Drug Company;Alpha Clin Premium Quality Aqueous Cream  - 100g;26.03.18;29.03.2018;8X3;26.03.2018;26.03.2018;1st off proof done and approved, customer came back with changes. New proofs send. Second lot of tproofs and trials send, customer revised artwork again. More new artwork received send new proofs;
13530;Chemical Health Enviromental Solutions and Engineering;Skin Deep Tube 50ml;26.03.18;27.03.2018;8X3;26.03.2018;;Customer revised artwork a few times and a few proofs was send out.;
13594;Silverlabs;Healing Cream - 75ml;27.03.18;04.04.2018;8X3;19.03.2018;;;
13595;Silverlabs;Healing Gel - 75ml;27.03.18;04.04.2018;8X3;19.03.2018;;;
13593;Catwalk;Bramley Best Feet 75ml;29.03.18;29.03.2018;8X3;22.03.2018;;;
13632;Portia M Skin Solutions;Marula Skin Oil Hand Cream 100ml;05.04.18;10.04.2018;8X3;29.03.2018;;;
13602;CT Toiletry Co;Simply Floral Spring Blossom Hand and Nail Cream 25ml;10.04.18;20.04.2018;8X3;20.03.2018;;;
13603;CT Toiletry Co;Simply Floral  Magnolia Hand and Nail Cream 25ml;10.04.18;20.04.2018;8X3;20.03.2018;;;
13604;CT Toiletry Co;Simply Floral Orchard Hand and Nail Cream 25ml ;10.04.18;20.04.2018;8X3;20.03.2018;;;
13605;CT Toiletry Co;Simply Floral Freesia Hand and Nail Cream 25ml;10.04.18;20.04.2018;8X3;20.03.2018;;;
13606;CT Toiletry Co;Simply Floral Rose Hand and Nail Cream 25ml;10.04.18;20.04.2018;8X3;20.03.2018;;;
13607;CT Toiletry Co;Ingredients Olive and Argan Hand and Nail 25ml;10.04.18;19.04.2018;8X3;20.03.2018;;;
13608;CT Toiletry Co;Ingredients Marula and Fynbos Honey Hand and Nail Cream 25ml;10.04.18;19.04.2018;8X3;20.03.2018;;;
13609;CT Toiletry Co;Ingredients Vanilla and Brown Sugar Hand and Nail Cream 25ml;10.04.18;19.04.2018;8X3;20.03.2018;;;
13610;CT Toiletry Co;Unwind Silk Moisturising Hand  Cream 25ml;10.04.18;19.04.2018;8X3;20.03.2018;;;
13611;CT Toiletry Co;Ingredients Rooibos And Honey Bush Hand and Nail Cream 25ml;10.04.18;19.04.2018;8X3;20.03.2018;;;
13612;CT Toiletry Co;Unwind Cashmere Moisturising Hand Cream 25ml;10.04.18;19.04.2018;8X3;20.03.2018;;;
13613;CT Toiletry Co;Unwind Milk Moisturising Hand Cream 25ml;10.04.18;20.04.2018;8X3;20.03.2018;;;
13614;CT Toiletry Co;Extracts Kaolin Clay and Mahogany 25ml;10.04.18;20.04.2018;8X3;20.03.2018;;;
13615;CT Toiletry Co;Extracts Cranberry and Acerola 25ml;10.04.18;20.04.2018;8X3;20.03.2018;;;
13616;CT Toiletry Co;Extracts Watermint and Ginseng 25ml;10.04.18;19.04.2018;8X3;20.03.2018;;;
13457;Prime Products;Rooibos Mango & Madarin Hand Cream 50ml;11.04.18;12.04.2018;8X3;07.02.2018;11.04.2018;After trial was approved customer requested a change to the artwork;
13458;Prime Products;Rooibos Pomagranate Hand Cream 50ml;11.04.18;12.04.2018;8X3;11.04.2018;11.04.2018;After trial was approved customer requested a change to the artwork;
13643;Nutriwoman;HG Hair Removal Cream Regular 50ml;12.04.18;17.04.2018;8X3;04.11.2018;;;
13644;Nutriwoman;HG Post Wax Soothing Lotion 50ml;12.04.18;17.04.2018;8X3;04.11.2018;;;
13647;Nutriwoman;HG Hair Removal Cream Sensitive 50ml;12.04.18;17.04.2018;8X3;04.11.2018;;;
13648;Nutriwoman;HG Pre Wax Gel 50ml;12.04.18;17.04.2018;8X3;04.11.2018;;;
13651;Nutriwoman;HG In -Grown Hair Serum 50ml;12.04.18;17.04.2018;8X3;04.11.2018;;;
13018;Zambesi Organics;Seza Face Mask 50ml;17.04.18;19.04.2018;8X3;17.04.2018;;1st proof send o nthe 8 Aug. customer send revised artwork. Proofed for the 3rd time on 17/4/2018;
13558;Fabupharm;Fabulous Feet Citro Heel Balm 100ml;17.04.18;20.04.2018;8X3;22.03.2018;;;
13656;Hot Pot Auto Paints;Dibenzoyl Peroxide Paste 25g ;17.04.18;20.04.2018;8X3;17.04.2018;;;
13659;African Botanics;Hand Cream 60ml;18.04.18;29.04.2018;8X3;17.04.2018;;Only change was cap information added;
13660;African Botanics;Therapy Gel 60ml;18.04.18;29.04.2018;8X3;17.04.2018;;Only change was cap information added;
13600;Tablecharm;Zonke Healing Wonder Rub 100ml;23.04.18;23.04.2018;8X3;09.03.2018;23.04.2018;1st off proof and trial done when customer realised there are two words that had to have capital letters. New proof sent;
13591;Skindoctor;Deep Cleanser - 125ml;24.04.18;08.05.2018;8X3;10.04.2018;24.04.2018;1st off proof send and approved. Trials were done and customer realised they had to adjust the web address.;
13592;Le-Sel;Daily Moisturiser - 125ml;24.04.18;08.05.2018;8X3;10.04.2018;24.04.2018;1st off proof send and approved. Trials were done and customer realised they had to adjust the web address.;
13681;Zeta Laboratories;EMA Power Of Perfume Hand and Nail 100ml MH(H);24.04.18;03.05.2018;8X3;23.04.2018;;;
13682;Zeta Laboratories;EMA Power Of Perfume Hand and Nail 100ml ML(H);24.04.18;03.05.2018;8X3;23.04.2018;;;
13683;Zeta Laboratories;EMA Power Of Perfume Hand and Nail 100ml FW(H);24.04.18;03.05.2018;8X3;23.04.2018;;;
13685;Lamicare;Dermikelp Saudi 100g;26.04.18;03.05.2018;8X3;17.04.2018;;;
13655;WBMED (PTY) LTD;Basix Skin Repair Cream + Macadamia Oil 50ml;14.05.18;14.05.2018;8X3;02.05.2018;;;
13645;Nutriwoman;HG Hair Removal Cream Regular 125ml;17.05.18;17.05.2018;8X3;04.11.2018;17.05.2018;1st Off proof send and trial done, customer revised artwork. New proofs send;
13646;Nutriwoman;HG Post Wax Soothing Lotion 125ml;17.05.18;17.05.2018;8X3;04.11.2018;17.05.2018;1st Off proof send and trial done, customer revised artwork. New proofs send;
13649;Nutriwoman;HG Hair Removal Cream Sensitive 125ml;17.05.18;17.05.2018;8X3;04.11.2018;17.05.2018;1st Off proof send and trial done, customer revised artwork. New proofs send;
13650;Nutriwoman;HG Pre Wax Gel 125ml;17.05.18;17.05.2018;8X3;04.11.2018;17.05.2018;1st Off proof send and trial done, customer revised artwork. New proofs send;
13652;Nutriwoman;HG Hair Removal Cream For Men 125ml;17.05.18;17.05.2018;8X3;04.11.2018;17.05.2018;1st Off proof send and trial done, customer revised artwork. New proofs send;
13653;Nutriwoman;HG Intimate Hair Removal Cream 125ml;17.05.18;17.05.2018;8X3;04.11.2018;17.05.2018;1st Off proof send and trial done, customer revised artwork. New proofs send;
13714;Aloe Ferox;Aloe Ferox Universal 15ml;18.05.18;19.06.2018;8X2;17.05.2018;;;
13720;Aloe Ferox;Aloe Ferox Hand Cream 75ml;18.05.18;19.06.2018;8X2;17.05.2018;;;
13721;Aloe Ferox;Aloe Ferox Eye Gel 15ml;18.05.18;19.06.2018;8X2;17.05.2018;;;
13722;Aloe Ferox;Aloe Ferox Nail and Cuticle Gel 15ml;18.05.18;19.06.2018;8X2;17.05.2018;;;
13692;Creighton Prod.;Fresh Delight Body Butter Lotus and Water 50ml;21.05.18;24.05.2018;8X3;28.04.2018;;;
13693;Creighton Prod.;Fresh Delight Shower Gel Lotus and Water 50ml;21.05.18;24.05.2018;8X3;28.04.2018;;;
13707;Daxi Hair Products;Imagemakers Fleur De Vanille Hand Moisturiser 100ml;21.05.18;22.05.2018;8X3;26.04.2018;;;
13709;Sea Spirit Trading 243 cc;Wild Olive Shower Gel 60ml;21.05.18;22.05.2018;8X3;14.05.2018;;;
13711;Sea Spirit Trading 243 cc; Wild Olive Shampoo 60ml;21.05.18;22.05.2018;8X3;14.05.2018;;;
13729;Creighton Prod.;Fresh Delights Lotus & Water Foam Bath 50ml;21.05.18;24.05.2018;8X3;28.04.2018;;;
13730;Creighton Prod.;Fresh Delights Lotus & Water Hand Sanitizer 50ml;21.05.18;24.05.2018;8X3;28.04.2018;;;
13726;Creighton Prod.;Fresh Delights Pomegranite & Berries Hand Sanitiser 50ml;22.05.18;24.05.2018;8X3;28.04.2018;;;
13727;Creighton Prod.;Fresh Delights Pomegranite & Berries Shower Gel 50ml;22.05.18;24.05.2018;8X3;28.04.2018;;;
13728;Creighton Prod.;Fresh Delights Pomegranite & Berries Foam Bath 50ml;22.05.18;24.05.2018;8X3;28.04.2018;;;
13731;Creighton Prod.;Fresh Delights Pomegranite & Berries Body Butter 50ml;22.05.18;24.05.2018;8X3;28.04.2018;;;
13732;Creighton Prod.;Fresh Everyday Sanitiser Invigorating Cool Mint 50ml;22.05.18;24.05.2018;8X3;28.04.2018;;;
13733;Creighton Prod.;Energy Everyday Sanitiser Revitalising Ginger Tonic 50ml;22.05.18;24.05.2018;8X3;28.04.2018;;;
13734;Creighton Prod.;Energy Everyday Foam Bath Revitalising Ginger Tonic 50ml;22.05.18;24.05.2018;8X3;28.04.2018;;;
13735;Creighton Prod.;Energy Everyday Hair and Body Wash Revitalising Ginger Tonic 50ml;22.05.18;24.05.2018;8X3;28.04.2018;;;
13736;Creighton Prod.;Fresh Everyday Hair and Body Wash Invigorating Cool Mint 50ml;22.05.18;24.05.2018;8X3;28.04.2018;;;
13737;Creighton Prod.;Fresh Everyday Body Lotion Invigorating Cool Mint 50ml;22.05.18;24.05.2018;8X3;28.04.2018;;;
13738;Creighton Prod.;Energy Everyday Body Lotion Revitalising Ginger Tonic 50ml;22.05.18;24.05.2018;8X3;28.04.2018;;;
13739;Creighton Prod.;Fresh Everyday Foam Bath Invigorating Cool Mint 50ml;22.05.18;24.05.2018;8X3;28.04.2018;;;
13752;Catwalk;Bramley Lavender Hand and Nail Cream 50ml;22.05.18;24.05.2018;8X3;20.05.2018;;;
13754;Catwalk;Bramley Lavender Body Lotion - 100ml;22.05.18;24.05.2018;8X3;20.05.2018;;;
13762;Charisma Candles;Botanique Jardin Hand and Nail  - 100ml;25.05.18;29.05.2018;8X3;22.05.2018;;;
13466;Canway;Order (a/w);28.05.18;01.06.2018;8X3;25.05.2018;;;
13465;Canway;Soft Touch Mini Hand Cream 25ml ;30.05.18;31.05.2018;8X2;14.05.2018;30.05.2018;1st off proof done and trialled when customer realised that the T of Touch be moved up to be inline with the rest of the word;
13338;Natures Colours;Mamma Marula 30ml;01.06.18;04.06.2018;8X2;30.05.2018;;;
13771;Creighton Prod.;Fresh Delight H&N Pomegranate (Fuchia) Vegan 75ml T&C;01.06.18;05.06.2018;8X3;05.10.2018;;;
13772;Creighton Prod.;Fresh Delight H&N Blue Lotus Vegan 25ml T&C;01.06.18;08.06.2018;8X3;05.10.2018;;;
13773;Creighton Prod.;Fresh Delight H&N Watermelon Vegan 25ml T&C;01.06.18;04.06.2018;8X3;05.10.2018;;;
13775;Creighton Prod.;Fresh Delight H&N Watermelon Vegan 75ml T&C;01.06.18;04.06.2018;8X3;30.05.2018;;;
13776;Creighton Prod.;Fresh Delight H&N Pomegranate (fuscia) Vegan 25ml T&C;01.06.18;05.06.2018;8X3;05.10.2018;;;
13330;Creighton Prod.;Fresh Delight Hand and Nail Blue Lotus 75ml Vegan;04.06.18;08.06.2018;8X3;01.06.2018;;;
13331;Creighton Prod.;Fresh Delight Hand and Nail Sweet Pea 25ml;04.06.18;07.06.2018;8X3;01.06.2018;;;
13777;Icon 360;William Dabs Nourishing Hand and Nail Cream - 100ml;05.06.18;19.06.2018;8X3;07.05.2018;;;
13793;Mosaic;Woolworths Blue For Him Body Wash 50ml;06.06.18;07.06.2018;8X3;31.05.2018;;;
13794;Mosaic;Woolworths Marrakech For Him Aftershave Balm 50ml;06.06.18;07.06.2018;8X3;31.05.2018;;;
13795;Mosaic;Woolworths Blue For Him Aftershave Balm 50ml;06.06.18;07.06.2018;8X3;31.05.2018;;;
13796;Mosaic;Woolworths Marrakech For Him Body Wash 50ml;06.06.18;07.06.2018;8X3;31.05.2018;;;
13786;Eezysun;Eezysun Aftersun 100ml;07.06.18;07.06.2018;8X3;29.05.2018;;;
13787;Eezysun;Eezysun SPF50 100ml;07.06.18;07.06.2018;8X3;29.05.2018;;;
13788;Eezysun;Eezysun Kiddies SPF50 100ml;07.06.18;07.06.2018;8X3;29.05.2018;;;
13789;Eezysun;Eezysun SPF30 100ml;07.06.18;07.06.2018;8X3;29.05.2018;;;
13802;Creighton Prod.;Fresh Delight Hand And Nail Sweetpea & Jasmine 75ml;07.06.18;07.06.2018;8X3;01.06.2018;;;
13433;Lycoderm;Post Procedure Cream 35ml;08.06.18;08.06.2018;8X3;08.06.2018;08.06.2018;Customer revised artwork new proof send. Customer changed ml on artwork from 40ml to 35ml;
13820;Honeysuckle;Face Wash 100ml;14.06.18;18.06.2018;8X3;23.05.2018;;;
13821;Honeysuckle;Shampoo - 150ml;14.06.18;18.06.2018;8X3;23.05.2018;;;
13822;Honeysuckle;Conditioner - 150ml;14.06.18;18.06.2018;8X3;23.05.2018;;;
13783;Charisma Candles;Start Everyday Like its Your Birthday - 50ml;15.06.18;18.06.2018;8X3;29.05.2018;;;
13784;Charisma Candles;Hashtag Awesome 50ml;15.06.18;18.06.2018;8X3;29.05.2018;;;
13785;Charisma Candles;Life Is Beautiful - 50ml;15.06.18;18.06.2018;8X3;29.05.2018;;;
13812;Creighton Prod.;AFB Luxurious Hand and Nail Cream With Fragrance - 125ml;15.06.18;19.06.2018;8X3;07.06.2018;;;
13813;Creighton Prod.;AFB Luxurious Hand and Nail Cream with Fine Fragrance - 125ml ;15.06.18;19.06.2018;8X3;07.06.2018;;;
13825;Aloe Ferox;Aloe Ferrox Whole Leaf Aloe Gel 75ml;15.06.18;19.06.2018;8X3;15.06.2018;;;
13803;Catwalk;Gifts From Nature Coconut Hand Cream - 100ml;20.06.18;20.06.2018;8X3;19.06.2018;;;
13804;Catwalk;Gifts From Nature Argan Hand Cream - 100ml;20.06.18;20.06.2018;8X3;19.06.2018;;;
13836;Scent Pack;Fruits of Nature Lime - 100ml;20.06.18;27.06.2018;8X3;19.06.2018;;;
13837;Scent Pack;Fruits of Nature Pomegranate - 100ml;20.06.18;27.06.2018;8X3;19.06.2018;;;
13838;Scent Pack;Fruits of Nature Papaya - 100ml;20.06.18;27.06.2018;8X3;19.06.2018;;;
13826;Cre'me Classique;Order (a/w);21.06.18;02.07.2018;8X3;14.06.2018;;;
13841;Cre'me Classique;Alpha Day & Night Moisturiser - 100ml;21.06.18;02.07.2018;8X3;14.06.2018;;;
13849;Rolfe Lab.;True Gel - 50ml;21.06.18;13.07.2018;10X3;31.05.2018;;;
13850;Rolfe Lab.;Clear Tone 50ml;21.06.18;13.07.2018;10X3;31.05.2018;;;
13842;Charisma Candles;Pure Hand and Nail - 100ml;22.06.18;22.06.2018;8X3;15.06.2018;;;
13847;Smash Retail (PTY) LTD;Yungskin Face Wash - 100ml;26.06.18;26.06.2018;8X3;26.06.2018;;;
13855;Olgani;Detoxifying Charcoal Toothpaste 75ml ;26.06.18;26.06.2018;8X3;26.06.2018;;;
13856;Olgani;Mighty Cocoa Toothpaste 75ml;26.06.18;26.06.2018;8X3;26.06.2018;;;
13846;Smash Retail (PTY) LTD;Serum Cream - 50ml;27.06.18;09.07.2018;8X3;22.06.2018;;;
13437;Allied Drug Company;Toccare Body And Face Cream - 100g;28.06.18;28.06.2018;8X3;26.06.2018;28.06.2018;1st off proof done and approved, customer came back with changes. New proofs send. Second lot of tproofs and trials send, customer revised artwork again.More new artwork received send new proofs. Proof E send on proof;
13708;Mosaic;Order (a/w);28.06.18;cancelled;8X3;22.06.2018;;cancelled;
13800;Mosaic;Order (a/w);28.06.18;cancelled;8X3;22.06.2018;;cancelled;
13801;Mosaic;Order (a/w);28.06.18;cancelled;8X3;22.06.2018;;cancelled;
13853;The Lash Collection;Luxury Eye Brand - 30ml;02.07.18;02.07.2018;8X3;18.06.2018;;;
13865;Catwalk;Gift From Nature Coconut Oil & Vanilla Hand Cream  - 20ml;02.07.18;10.07.2018;8X3;21.06.2018;;;
13866;Catwalk;Gift From Nature Argan Oil & Macadamia Hand Cream - 20ml;02.07.18;10.07.2018;8X3;21.06.2018;;;
13867;Totally Wild;SA Aloe 24 100ml;02.07.18;02.07.2018;8X3;02.07.2018;;;
13876;Hands on Health;Firm Glove Cream - 150ml;03.07.18;11.07.2018;8X3;12.06.2018;;;
13781;Canway;SRC Hand cream Rasberry - 75ml;04.07.18;06.07.2018;8X3;26.06.2018;;;
13782;Canway;SRC Hand Cream Orchid - 75ml;04.07.18;06.07.2018;8X3;26.06.2018;;;
13870;SH'ZEN;These Feet Were Made for Walking 100ml;04.07.18;11.07.2018;8X3;26.06.2018;;;
13883;The Lash Collection;Wink Tube 30ml;09.07.18;10.07.2018;8X2;02.07.2018;;;
13797;Creighton Prod.;Coco Summer Hand and Body Lotion 150ml;10.07.18;11.07.2018;8X3;09.07.2018;;;
13798;Creighton Prod.;Coco Summer Aftersun Cool Gel 150ml;10.07.18;11.07.2018;8X3;09.07.2018;;;
13758;CT Toiletry Co;Body Sure Citrus Hand And Nail Cream - 75ml;13.07.18;16.07.2018;8X3;02.07.2018;;;
13759;CT Toiletry Co;Body Sure Fruit and Floral Hand and Nail 75ml;13.07.18;16.07.2018;8X3;02.07.2018;;;
13760;CT Toiletry Co;Body Sure Floral Fresh Hand and Nail Cream - 75ml;13.07.18;16.07.2018;8X3;02.07.2018;;;
13894;CT Toiletry Co;Body Sure Vanilla & Coconut Hand and Nail - 75ml (ITW13758);13.07.18;16.07.2018;8X3;02.07.2018;;;
13874;Pepper Tree Packaging;Tropical Hand and Nail Cream 50ml;16.07.18;20.07.2018;8X3;02.07.2018;;;
13946;Aloe Ferox;Aloe Ferox Enriched Night Cream 50ml;26.07.18;28.07.2018;8X3;07.11.2018;;;
13947;Aloe Ferox;Aloe Ferox Neck Cream 50ml;26.07.18;28.07.2018;8X3;07.11.2018;;;
13948;Aloe Ferox;Aloe Ferox Hand and Body Lotion 75ml;26.07.18;28.07.2018;8X3;07.11.2018;;;
13949;Aloe Ferox;Aloe Ferox Hand and Body Lotion 150ml;26.07.18;28.07.2018;8X3;07.11.2018;;;
13058;SCENT PACK;Soothing Lavender Hand and Nail 75ml;06.08.18;cancelled;8X3;06.08.2018;06.08.2018;1st proof send for approval on 11.09.17, customer put project on hold until further notice. Artwork approved and trialled. Customer revised artwork.;
14127;AVROY SHLAIN;Pink Diamond Hand Cream  - 100ml;10.08.18;12.10.2018;8X3;02.10.2018;;;
13968;Creighton Prod.;Sugar Glow Overnight Mask 30ml;13.08.18;16.08.2018;8X3;20.07.2018;;;
13969;Creighton Prod.;Sugar Glow Hand and Nail 30ml;13.08.18;16.08.2018;8X3;20.07.2018;;;
13970;Creighton Prod.;Heat Wave Hand and Nail 30ml;13.08.18;16.08.2018;8X3;20.07.2018;;;
13972;Lee-Chem;Pure Matcha Tea & Vitamin E Hand Cream 100ml;13.08.18;17.08.2018;8X3;01.08.2018;;;
13975;Portia M Skin Solutions;Marula Skin Oil Hand Cream - 100ml;13.08.18;27.08.2018;8X3;01.08.2018;;;
13848;Waxit;Spot It healing Balm 10ml;14.08.18;07.09.2018;8X3;14.08.2018;;;
13983;MRL Private Collection;Moisturising Lotion For Her 75ml;15.08.18;15.08.2018;8X3;15.08.2018;;;
13984;Holistic Life;Yungskin Exfoiliator - 100ml;17.08.18;21.08.2018;8X3;07.08.2018;;trail done and sent, custoemr revised artwork;
13992;Reitzer Pharm.;Treet It T/Tree Anticeptic Cream 50ml;17.08.18;24.08.2018;8X3;14.08.2018;;;
13701;Breitling Bay;Order (a/w);21.08.18;23.08.2018;8X3;21.08.2018;21.08.2018;trial done when rob realised that thesize of the tube is too short for the amount of product it need to fill. Customer adjusted artwork to 140mm length. 2nd Trial done and custoemr changed artwork again. New artwork received again for the 7th time. Hopefully last artwork send for approval on proof h;
13980;Brother Bees Honey;Honey and Chocolate 125ml;21.08.18;24.08.2018;8X3;20.08.2018;21.08.2018;trial done and sent, customer revised artwork.;
13981;Brother Bees Honey;Honey and Peanut Butter 125ml;21.08.18;24.08.2018;8X3;20.08.2018;21.08.2018;trial done and sent, customer revised artwork.;
13982;Brother Bees Honey;Raw Honey 125ml;21.08.18;24.08.2018;8X3;20.08.2018;21.08.2018;trial done and sent, customer revised artwork.;
