Pre-Prod No.;Client;Description;Date Sent on Proof;Proof Approved (Digital);Size of Eyemark;Artwork Received;Revised Artwork After Trialling;comments;
10632;Complex Revitalizing Serum 50ml C.O.D. ( PD IN FULL);Advacos;13.05.15;25.05.2015;8X3;;;;
10623;Aloe Gel 75ml ( C.O.D. POCOR5/5/15) PD IN FULL;Aloe Unique;14.05.15;15.05.2015;8X3;;;;
10635;Aloe Unique Aloe and Honey Honey Mask 75ml (C.O.D. POCOR5/5/15) PD IN FULL;Aloe Unique;14.05.15;15.05.2015;8X3;;;;
10596;Alcare Aloe Hand Cream 15ml Same as 10256;The House of Aloes (Pty) Ltd.;15.05.15;20.05.2015;2x10;;;;
10422;Copper Compound 100g;Spanjaard;18.05.15;17.06.2015;8X3;;;First draft send on the 31 March but customer requested changes to artwork and last draft send on the 18 May;
10661;Chaffing Repair Cream 100ml;Silverlabs;19.05.15;27.05.2015;8X3;;;;
10642;T/Charm Lady Million Hand and Nail 75ml;Le-Sel;20.05.15;21.05.2015;8X3;;;;
10643;T/Charm Red Door Hand and Nail 75ml;Le-Sel;20.05.15;21.05.2015;8X3;;;;
10660;Dermasure Hydratiion 75ml;Dermasure;21.05.15;21.05.2015;5x3;;;;
10666;Biocream Anticeptic Cream 25g (PD IN FULL);Dismed;21.05.15;22.05.2015;8X3;;;;
10670;Good Stuff Bee Natural 75ml;Saradox;25.05.15;26.05.2015;8X3;;;;
10663;Aftershave Gel Tube 30ml (PD Iin Full);MRL Private Collection;01.06.15;02.06.2015;8X3;;;;
10713;Aloe Vera 75ml ( PD IN FULL);Parceval Pharmaceuticals;11.06.15;17.06.2015;8X3;;;;
10738;Advacos;Cleansing Lotion 30ML;11.06.15;12.06.2015;8x3;;;;
10739;Advacos;Moisturiser 30ML;11.06.15;12.06.2015;8x3;;;;
10561;Britec Labs;OSH Shea Hand Cream 75ml Blossom;17.06.15;17.06.2015;8x3;;;;
10562;Britec Labs;OSH Shea Butter Hand Cream 75ml Nutty;17.06.15;17.06.2015;8x3;;;;
10563;Britec Labs;OSH Shea Butter Hand Cream 75ml Berry;17.06.15;17.06.2015;8x3;;;;
10724;Aerosol & Cosm.;Baby Therapy Cream Talc 100ml;18.06.15;22.06.2015;8x3;;;;
10725;Aerosol & Cosm.;Baby Therapy Aqueous Cream  175ml;18.06.15;22.06.2015;8x3;;;;
10726;Aerosol & Cosm.;Baby Therapy Petroleum Jelly 175ml;18.06.15;22.06.2015;8x3;;;;
10727;Aerosol & Cosm.;Baby Therapy Baby Oil 100ml;18.06.15;22.06.2015;8x3;;;;
10728;Aerosol & Cosm.;Baby Therapy Baby Lotion 175ml;18.06.15;22.06.2015;8x3;;;;
10729;Aerosol & Cosm.;Baby Therapy Body Wash 175ml;18.06.15;22.06.2015;8x3;;;;
10730;Aerosol & Cosm.;Baby Therapy Barrier Cream 175ml;18.06.15;22.06.2015;8x3;;;;
10731;Aerosol & Cosm.;Baby Therapy Shampoo 175ml;18.06.15;22.06.2015;8x3;;;;
10750;SH'ZEN;Sh'zen -Instant Touch Up Illuminator Refill 15ml;23.06.15;25.06.2015;8X3;;;;
10518;Prime Products;P/Feet Marine Serum Moisturising Foot Lotion 125ml;24.06.15;25.06.2015;8X3;;;;
10519;Prime Products;P/Feet Marine Serum Intensive Heel Cream 50ml;24.06.15;25.06.2015;8X3;;;;
10530;Prime Products;P/Feet P/Mint Oil Int Heel Soft Crm 100ml;24.06.15;25.06.2015;8X3;;;;
10531;Prime Products;P/Feet P/Mint Oil Rough Skin Remover 125ml;24.06.15;25.06.2015;8X3;;;;
10532;Prime Products;P/Feet P/Mint Oil Moist Foot Lot 125ml;24.06.15;25.06.2015;8X3;;;;
10533;Prime Products;P/Feet P/Mint Oil Int Heel Soft Crm 50ml;24.06.15;25.06.2015;8X3;;;;
10618;Nature Fresh;Pure Smile Toothpaste 100ml (Duplicate of10763)Cancelled;24.06.15;15.07.2015;8X3;;;;
10746;Nutriwoman;Nutriwoman Body Range 100ml;24.06.15;25.06.2015;8X3;;;;
10662;MRL Private Collection;Aloe &Rooibos Body Milk 75ml (PD IN FULL);07.07.15;13.07.2015;8X3;;;;
10797;Prime Products;Glycerine and Lemon Hand Cream 100ml;07.07.15;09.07.2015;8X3;;;;
10804;Genop Healthcare;Epi-max Hand Cream 75g;08.07.15;09.07.2015;8x3;;;;
10805;Genop Healthcare;Epi-max Baby and Junior Cream 100g;08.07.15;09.07.2015;8x3;;;;
10806;Genop Healthcare;Epi-max Cream Moisturiser 100g;08.07.15;09.07.2015;8x3;;;;
10807;Genop Healthcare;Epi-max Plus Cream 125g;08.07.15;09.07.2015;8x3;;;;
10808;Saradox;Good Stuff Spa Argan and Jasmine Hand Cream 60ml;10.07.15;13.07.2015;8X3;;;;
10809;Saradox;Good Stuff Spa Coconut and Lime Hand Cream 60ml;10.07.15;13.07.2015;8x3;;;;
10775;Nature Fresh;Herbal Toorthpaste ( Logo Added);13.07.15;20.07.2015;8x3;;;;
10766;Edelweiss;Derma Kure 50ml;14.07.15;21.07.2015;8X3;;;1st proof send on the 2nd July, customer made changes to artwork and 2nd proof send 14 July;
10767;Edelweiss;Derma Kure 100ml;14.07.15;21.07.2015;8X3;;;1st proof send on the 2nd July, customer made changes to artwork and 2nd proof send 14 July;
10818;PD Pharma;PD PHARM Pain Relief Gel  (Pd In Full);15.07.15;20.07.2015;8X3;;;;
10835;SH'ZEN;Sh'zen Chocolate & Vanilla Crème 30ml;15.07.15;15.07.2015;8X3;;;;
10836;SH'ZEN;Sh'zen Guava & Coconut Crème 30ml;15.07.15;15.07.2015;8x3;;;;
10837;SH'ZEN;Sh'zen Melon & Papaya Crème 30ml;15.07.15;15.07.2015;8X3;;;;
10847;Bioseal;Bioseal Body Cream 80ml;20.07.15;21.07.2015;8x3;;;first proof send the 13 July customer adjusted artwork twice after that.;
10853;Silverlabs;Silverlabs Chaffing Repair 75ml;21.07.15;27.07.2015;8X3;;;;
10854;Silverlabs;Silverlabs Blister & Wound Gel 100ml;21.07.15;cancelled;8X3;;;;
10855;Silverlabs;Silverlabs After Sun Liqui-Gel 100ml;21.07.15;cancelled;8X3;;;;
10856;Silverlabs;Silverlabs Intense Hydration 100ml;21.07.15;cancelled;8X3;;;;
10858;Le-Sel;Me Time Moonlight Path Hand and Nail Cream 75ml;30.07.15;12.08.2015;10X3;;;;
10814;MRL Private Collection;Facial 30ml;31.07.15;31.07.2015;10X2;;;;
