UPDATE DR,,,,,,,,OWNERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDENTIFICATION DETAILS,,,,,,,,,,,Skye,122 owned moulds came over from Skye….,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNERSHIP,,,,,,,,,,DATES,,,,PRODUCTION DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MouldNumber,Mould Number (Inserts),Mould Number (Inserts 2),FAR,Asset QR code,Discontinuation Number,Location,skye catalogue stds,Mould Index,Mould Code,Mould Number on Mould,Drawing No.,2nd Drawing No.,3rd Drawing No.,Mould Description,2nd Mould Description,Cavities,Linked Mould,Material,Weight G,Packaging,Preferred Machine,Manuf. Process,Manf. Shape,Shape,Business Line,Start Year (A),Mould Source 1,Mould Source 2,Date Mould Ordered,Amort,Comp,FAR Historical Cost,Historical Mould Cost as per Other on File,Historical Cost Extrapolated,Years Until 'Now',Estimated 'Now' Cost,Mould Cost - actual,Mould Cost Current,Mould Type Code,DL Mould  cost - material,DL Mould cost - labour,DL Mould cost - total,Current Age (Years),Usefull Life (A),Value Categories,Say Current Replacment Value (A),Location+K:AK,Status (B),Owner 1,NO OF MOULDS,Mould Family (Parent WC #),Notes on Mould Family,Other Specific Mould Notes,Owner 2,Date of Mould Order or Acquisition from?,Cost of Mould @ time of mould order,Additional Costs for Mould Mods,Notes on Ownership,Ammort. % @ 11/05/22,Exclusivity,Notes on Exclusivity,Custom / Standard,Main / Only Customer,Start Date,Notes on Start Date,Last production Date,Date No Longer Active,Shots Capability,Longevity' - High / Medium / Low,Notes on 'Longevity',Mould Condition - Good / Average / Poor,Date of Assessment of Condition,Total Units Since 2015,Total Shots,Date of 1st shot,Year,Earliest Start Date,2023/06/07,Years From Earliest Date,Years for Shot Data,Shots per Year,Shots per Month,Estimated Lifetime Shots,Years Remaining,Estimated Useful Life,Year Now,2025,Cost escalation %,"5,0%",FAR Start Date,FAR Start > DB Start (Years),FAR Start Year,#N/A,FAR Value vs. DB Value,Mould Class,Historical Cost Extra,Residual Value,Year Start,Default Useful Life,Default End of Life,Default Years of Dep,Default Accum Dep,Default NBV,Year of Default NBV,Extend #1,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #1 NBV,Year of Extend #1 NBV,Extend #2,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #2 NBV,Year of Extend #2 NBV,Extend #3,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #3 NBV,Year of Extend #3 NBV,Extend #4,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #4 NBV,Year of Extend #4 NBV,Extend #5,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #5 NBV,Year of Extend #5 NBV,Extend #6,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #6 NBV,Year of Extend #6 NBV,Extend #7,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #7 NBV,Year of Extend #7 NBV,Estimate NBV FY'24,Cost,Acc Dep,check:
M1272P,,,,,,,,,P0150D1909BA,,1909,,,150ML SPRITZER PET BOTTLE,,4,MBP-108,PET,"20,0",518,MB50,INJBLOW,INJBLOW-BOTTLE,BOTTLE,C: PET Bottle,2025,BOWLER,Bowler,2025,,,,R69 000,,,R72 500,,"R69 000,00",,,,,,,,,2300,Active,Bowler,,,,,,2025,"R69 000,00",,MOULD ORDER DD 08/08/2025 FOR 2ND MOULD - DUE TO CANWAY OWNED MOULD,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1273N,,,,,,,,,ICAPSD2388BA,,2388,,,50mm Ratchet Cap,,4,MI-0656,HDPE,"12,3",750,IM4,INJ,INJ-CAP,CAP,G: IM Closure,2025,BOWLER,Bowler,2025,,,,,,,,,"R600 000,00",,,,,,,,,2100,On hold,Bowler,,,,,,2025,"R600 000,00",,REPLACEMENT MOULD ORDER DD 08/08/2025,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1274P,,,,,,,,,P0100D2530CA,,2530,,,100ML OSH BODY OIL PET BOTTLE,,4,,PET,"13,5",180,MB50,INJBLOW,INJBLOW-BOTTLE,BOTTLE,C: PET Bottle,2025,Other,HABITAT,2025,,,,R69 000,,,72500,,"R69 000,00",,,,,"0,3",15,,,2300,Active,Customer,,,,,CANWAY,2025,"R69 000,00",,MOULD ORDER DD 16/09/2025 - COST TO CUSTOMER R85 000 - PAID IN FULL,,CANWAY,,C,CANWAY,2026/01/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1277P,,,,,,,,,P1000D2554CA,,2554,,,1LT GORDON'S DRY GIN,,4,,PET,76,,AOKI,INJBLOW,INJBLOW-BOTTLE,BOTTLE,C: PET Bottle,2025,OTHER,HABITAT,2025,YES,,,R324 000,,,"R324 000,00",,"R324 000,00",,,,,,,,,2300,Pending,Customer,,,,,DIAGEO,2025,"R324 000,00",,"MOULD ORDER DD 20/10/2025 - AMORT OVER 3 MIL UNITS/3YRS @ R0,20",,DIAGEO,,C,DIAGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1278B,,,,,,,,,,,2320,,,500ml SQUARE,,2,MB-500/102,HDPE,36,142,,BLOW,BLOW-BOTTLE,BOTTLE,A: EBM,2026,Other,Skye,,,,R30 000,,,"-1,0",,,,,,,,,,,,2300,PENDING,Bowler,,,,,BOWLER,2022,,"R50 000,00",RECEIVED WITH SKYE ACQUISITION - MARCH 2022 - INDUSTRIALISATION OF MOULD DD 10/02/2026,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1279B,,,,,,,,,B0200A2563CA,,2563,,,200ML SELSUN HDPE BOTTLE,,1,,HDPE,22,,,BLOW,BLOW-BOTTLE,BOTTLE,A: EBM,2026,Bowler,,2026,,,,,,,,,"R172 500,00",,,,,,,,,2300,Pending,Customer,,,,,MENTHOLATUM,2026,"R172 500,00",,MOULD ORDER DD 12/02/2026 - CUSTOMER TO PAY FULL PRICE OF MOULD,,MENTHOLATUM,,C,MENTHOLATUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1280P,,,,,,,,,P0250C2536CA,,2536,,,250ML ROOIBAARD SOUS PET BOTTLE,,3,,PET,29,,MB50,INJBLOW,INJBLOW-BOTTLE,BOTTLE,C: PET Bottle,2026,Other,HABITAT,2026,YES,0%,,,,,"R62 000,00","R62 000,00","R62 000,00",,,,,,,,,,Pending,CUSTOMER,,,,,ROOIBAARD,2026,"R62 000,00",,"MOULD ORDER DD 25/03/2026 - AMORT OF 0,11 OVER 720 000 UNITS",,ROOIBAARD,,C,ROOIBAARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1281P,,,,,,,,,P0550B2535CA,,2535,,,550ML ROOIBAARD SOUS PET BOTTLE,,2,,PET,61,,PF6,INJBLOW,INJBLOW-BOTTLE,BOTTLE,C: PET Bottle,2026,Other,HABITAT,2026,YES,0%,,,,,"R98 500,00","R98 520,00","R98 500,00",,,,,,,,,,Pending,CUSTOMER,,,,,ROOIBAARD,2026,"R98 500,00",,"MOULD ORDER DD 25/03/2026 - AMORT OF 0,17 OVER 720 000 UNITS",,ROOIBAARD,,C,ROOIBAARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1282N,,,,,,,,,,,2603,,,35MM SCREW CAP,,4,,,,,,INJ,INJ-CAP,CAP,G: IM Closure,2026,Other,CONSUPAK,2026,,,,,,,,,,,,,,,,,,,Pending,Bowler,,,,,BOWLER,2026,,,AQUIRED WITH ACQUISITION OF CONSUPAK MOULDS & MACHINERY IN 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1283N,,,,,,,,,,,2604,,,30MM SCREW CAP,,4,,,,,,INJ,INJ-CAP,CAP,G: IM Closure,2026,Other,CONSUPAK,2026,,,,,,,,,,,,,,,,,,,Pending,Bowler,,,,,BOWLER,2026,,,AQUIRED WITH ACQUISITION OF CONSUPAK MOULDS & MACHINERY IN 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1284N,,,,,,,,,,,2605,,,25MM FLIP-TOP CAP,,12,,,,,,INJ,INJ-CAP,CAP,G: IM Closure,2026,Other,CONSUPAK,2026,,,,,,,,,,,,,,,,,,,Pending,Bowler,,,,,BOWLER,2026,,,AQUIRED WITH ACQUISITION OF CONSUPAK MOULDS & MACHINERY IN 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1285N,,,,,,,,,,,2607,,,25MM SCREW CAP,,?,,,,,,INJ,INJ-CAP,CAP,G: IM Closure,2026,Other,CONSUPAK,2026,,,,,,,,,,,,,,,,,,,Pending,Bowler,,,,,BOWLER,2026,,,AQUIRED WITH ACQUISITION OF CONSUPAK MOULDS & MACHINERY IN 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1286N,,,,,,,,,,,2606,,,19MM SCREW CAP,,?,,,,,,INJ,INJ-CAP,CAP,G: IM Closure,2026,Other,CONSUPAK,2026,,,,,,,,,,,,,,,,,,,Pending,Bowler,,,,,BOWLER,2026,,,AQUIRED WITH ACQUISITION OF CONSUPAK MOULDS & MACHINERY IN 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0010/?,,,,4760,,,,,,,0280/B,,,10ML LIPSANO BOTTLE,,1 X 1,,,,,,BLOW,BLOW-BOTTLE,BOTTLE,A: EBM,,,,,,,,,,,,,,,,,,"126,5","15,0",,,K-PARK,Dormant,,,,,,,,,,NO MACHINE TO RUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0020/5,,,,,,,,,,,1561,,,20ml Iliadin Bottle,,2,,HDPE,"8,0",469,KEB 1,BLOW,BLOW-BOTTLE,BOTTLE,A: EBM,2011,Bowler,Bowler,2011,,,,,R53 032,"14,0",R105 000,,,EBM A-2,R31 500,R73 500,R105 000,"15,3","17,0",,,2100,Dormant,Bowler,,,,,BOWLER,2011,"R70 000,00",,"MOULD ORDER DD 04/03/2011 - COST R70 000,00 - AMORT 1.8 MIL UNITS OVER 3 YEARS @ R0,05 - OFFTAKE ON SYSTEM 115 484 - ?",,,,S,,2011/01/21,,21/10/2020,,,,,,,119 595,59 798,2015/12/04,2015,2011/01/21,Risk of more shots,"12,4","7,5",7 960,663,98 573,"-12,4","0,0",,,,,,,,,,BowDor_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0030/1,,,,2164,,,,,,,1247,,,30ml Salex Saline Dropspray Bottle,,2,,HDPE,"6,5",1 260,KEB 1,BLOW,BLOW-BOTTLE,BOTTLE,A: EBM,2015,Other,,2017,,,,,R64 461,"10,0",R105 000,,,EBM A-2,R31 500,R73 500,R105 000,"11,0","15,0",,,2300,Dormant,Customer,,,,,,2017,,,DR DD 06/10/2017,,,,C,,2015/05/04,,23/04/2018,,,,,,,417060,208530,2016/03/17,2016,2015/05/04,,"8,1","7,2",28 853,2 404,233 667,"-8,1","0,0",,,,,,,,,,CustDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0030/3,,,,,,2100,,,B0030F1979CB,,1979,,,30ml Caivil Bottle,,3,,HDPE,"7,0",1 100,KEB5,BLOW,BLOW-BOTTLE,BOTTLE,A: EBM,2017,Bowler,Bowler,2016,YES,100%,,R150 000,R150 000,"8,0",R221 618,,,EBM A-3,R40 950,R95 550,R136 500,"8,8","15,0",,,Customer,Customer,Customer,,,,,MARICO,2016,"R150 000,00",,"MOULD ORDER DD 10/06/2016 - COST R150 000,00 - AMORT AT R0,03 OVER 3 YEARS - 6,6 MILL.  - AMORT COMP. 26/01/2024 - CUSTOMER PICKED UP MOULD ON 29/01/2025",,MARICO,,C,MARICO,2017/07/25,,27/10/2021,,,,,,,14 440 926,4 813 642,2017/07/04,2017,2017/07/04,,"5,9","5,9",811 913,67 659,4 813 642,"-5,9","0,0",,,,,,,,,,CustDor_B_Amort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0045/1,,,,2160,,2300,,,B0040B1886CA,,1886,,,45ml Rectangular Bottle,,1,,HDPE,"9,5",1 156,KEB 3,BLOW,BLOW-BOTTLE,BOTTLE,A: EBM,2015,Other,,2015,YES,100%,,,R46 043,"10,0",R75 000,,,EBM A-1,R22 500,R52 500,R75 000,"10,7","15,0",,,2300,Active,Customer,,,,,SKINCHEM,2015,"R85 000,00",,"MOULD ORDER DD 04/06/2015 - COST R85 000,00 - AMORT 720 000/3YRS @ 0,14C - AMMORT COMPLETE 28/02/2019",,SKINCHEM,,C,SKINCHEM,2015/08/31,,30/09/2022,,,,,,,695 481,695 481,2015/08/03,2015,2015/08/03,Risk of more shots,"7,8","7,8",88 604,7 384,695 481,"-7,8","0,0",,,,,,,,,,CustAct_O_Amort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0048/1,,,,2176,,2300,,,B0048C1933CA,,1933,,,48ml Concentrate Bottle,,3,,HDPE,"9,5",306,KEB 3,BLOW,BLOW-BOTTLE,BOTTLE,A: EBM,2016,Bowler,Bowler,2015,,,,R95 000,R95 000,"9,0",R147 376,,,EBM A-3,R40 950,R95 550,R136 500,"10,1","15,0",,,2300,Dormant,Customer,,,,,DYNAMIC BRANDS,2015,"R95 000,00",,"MOULD ORDER DD 25/08/2015 - COST R95 000,00 - PAID IN FULL BY CUSTOMER",,DYNAMIC BRANDS,,C,DYNAMIC BRANDS,2016/04/01,,27/06/2022,,,,,,,1 120 678,373 559,2016/03/24,2016,2016/03/24,,"7,2","7,2",51 824,4 319,373 559,"-7,2","0,0",,,,,,,,,,CustAct_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0050/16,,,,,,2300,,,,,373,,,50ml Roll-On Bottle HD,,10,,HDPE,"13,8",570,UNILOY,INJBLOW,INJBLOW-ROBOTT,ROBOTT,D: Roll-on,2011,Other,,2001,,,,,R101 014,"14,0",R200 000,,R200 000,X,R0,R0,R0,"14,9","15,0",,,2300,Active,Bowler,,,,,BOWLER,2001,,,DR DD 26/11/2001,,,,S,,2011/06/30,,,,,,,,,19 437 602,1 943 760,2015/08/21,2015,2011/06/30,Risk of more shots,"11,9","7,8",249 200,20 767,2 976 745,"-11,9","0,0",,,,,,,,,,BowAct_O,R101 014,R2 500,2011,7,2018,5,-R70 367,R30 647,2016,5,10,2021,3,-R16 888,R13 759,2019,5,13,2024,3,-R6 755,R7 003,2022,5,16,2027,3,-R2 702,R4 301,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R4 301,R101 014,-R96 712,
MB-0050/19,,,,,,,,,,,627,,,50g Alpha Talc Bottle HDPE,,2,MB-0050/37 & 39,HDPE,"13,5",606,CC 10S,BLOW,BLOW-BOTTLE,BOTTLE,A: EBM,2013,Bowler,Bowler,2003,,,,,R58 468,"12,0",R105 000,,,EBM A-2,R31 500,R73 500,R105 000,"12,9","15,0",,,2100,Dormant,Customer,,,,,JAJ,2003,,,DR DD 25/06/2003,,JAJ,,C,JAJ,2013/06/30,,28/08/2017,,,,,,,0,0,,,2013/06/30,,"0,0","0,0",-,-,-,"0,0","0,0",,,,,,,,,,CustDor_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0050/26,,,,,,2300,,,,,1133,,,"""1"""" Roll-On Ball""",,10,,PPH,"3,0",2 500,KEB5,BLOW,BLOW-ROBALL,ROBALL,D: Roll-on,2015,Bowler,Bowler,,,,,,R105 900,"10,0",R172 500,,,EBM RB-10,R43 125,R129 375,R172 500,"10,8","15,0",,,2300,Dormant,Bowler,,,,,BOWLER,,,,,,,,S,,2015/08/04,,,,,,,,,23 218 877,2 321 888,2015/08/03,2015,2015/08/03,Risk of more shots,"7,8","7,8",295 808,24 651,2 321 888,"-7,8","0,0",,,,,,,,,,BowAct_B,R105 900,R2 500,2015,7,2022,5,-R73 857,R32 043,2020,5,10,2025,3,-R17 726,R14 317,2023,5,13,2028,2,-R4 727,R9 590,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R9 590,R105 900,-R96 310,
MB-0050/28,,,,2188,,2100,,,,,1068,,,Big Roll-On Ball (5-12),,8,MB-0050/29 & 30,PPH,"6,2",2 000,FISCHER 1 & 11,BLOW,BLOW-ROBALL,ROBALL,D: Roll-on,2008,Bowler,Bowler,,,,,,R65 445,"17,0",R150 000,,,EBM RB-8,R37 500,R112 500,R150 000,"17,6","20,0",,,2300,Dormant,Bowler,3,,,,BOWLER,,,,,,,,S,,2008/10/15,,01/02/2022,,,,,,,137 857 380,17 232 173,2015/08/03,2015,2008/10/15,Risk of more shots,"14,7","7,8",2 195 373,182 948,32 166 723,"-14,7","0,0",,,,,,,,,,BowAct_B,R65 445,R2 500,2008,7,2015,5,-R44 960,R20 484,2013,5,10,2018,3,-R10 790,R9 694,2016,5,13,2021,3,-R4 316,R5 377,2019,5,16,2024,3,-R1 726,R3 651,2022,5,19,2027,3,-R691,R2 960,2025,,,,,,,,,,,,,,,,,,,,,,R2 960,R65 445,-R62 484,
MB-0050/29,,,,,,2100,,,,,1068,,,Big Roll-On Ball  (Cavity 13-20) PP,,8,MB-0050/28 & 30,HDPE,"6,2",2 000,FISCHER 1 & 11,BLOW,BLOW-ROBALL,ROBALL,D: Roll-on,2015,Bowler,Bowler,,,,,,R92 087,"10,0",R150 000,,,EBM RB-8,R37 500,R112 500,R150 000,"10,8","15,0",,,2100,Dormant,Bowler,3,,,,BOWLER,,,,,,,,S,,2015/08/04,,01/02/2022,,,,,,,-,-,,,1900/01/00,,"0,0","0,0",-,-,-,"0,0","0,0",,,,,,,,,,BowDor_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0050/3,,,,4786,,,,,,,0618A,,,50ML ALPHA SHAMPOO (PVC),,2,,PVC,"10,0",864,,BLOW,BLOW-BOTTLE,BOTTLE,A: EBM,,,,2001,,,,,,,,,,,,,,"25,0","15,0",,,K-PARK,Dormant,BOWLER,,,,,BOWLER,2001,,,DR DD 03/05/2001,,,,S,,2001/05/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0050/30,,,,,,2100,,,,,1068,,,Big Roll-On Ball - MK3  (Cavity 21-32) PP,,12,MB-0050/28 & 29,HDPE,"5,8",2 000,KEB5,BLOW,BLOW-ROBALL,ROBALL,D: Roll-on,2015,Bowler,Bowler,,,,,,R119 713,"10,0",R195 000,,,EBM RB-12,R48 750,R146 250,R195 000,"10,8","15,0",,,2100,Dormant,Bowler,3,,,,BOWLER,,,,,,,,S,,2015/08/04,,01/02/2022,,,,,,,-,-,,,1900/01/00,,"0,0","0,0",-,-,-,"0,0","0,0",,,,,,,,,,BowDor_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0050/31,,,M1-00045_GADTEK,,,,,,,,,,,50ml Caival / unlabeled,,4,,,,,,BLOW,BLOW-BOTTLE,BOTTLE,A: EBM,2006,Other,GADTEK,,,,R40 000,,,"19,0",R101 078,,,EBM A-4,R50 400,R117 600,R168 000,"19,4","15,0",,,2100,Dormant,Bowler,,,,,BOWLER,,,,BOWLER MOULD UNLESS CUSTOMER CAN PROVE OTHERWISE,,,,C,,2006/12/31,,27/09/2018,,,,,,,1280503,"320125,75",2016/12/12,2016,2006/12/31,,"16,4","6,5",49 344,4 112,811 400,"-16,4","0,0",,,,,2006/12/31,"0,0",2006,R40 000,R0,FARDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0050/35,,,,2170,,2300,,,,,1095,,,50ml STD Roll-On Bottle KEB 1 HDPE,,2,,HDPE,"13,5",420,KEB 1,BLOW,BLOW-ROBOTT,ROBOTT,A: EBM,2007,Bowler,Bowler,2011,,,,,R43 630,"18,0",R105 000,,,EBM A-2,R31 500,R73 500,R105 000,"18,8","20,0",,,2300,Dormant,Bowler,,,,,BOWLER,2011,,,DR DD 22/03/2011,,,,S,,2007/07/17,,12/08/2022,,,,,,,1 459 717,729 859,2015/11/23,2015,2007/07/17,Risk of more shots,"15,9","7,5",96 767,8 064,1 538 722,"-15,9","0,0",,,,,,,,,,BowAct_B,R43 630,R2 500,2007,7,2014,5,-R29 378,R14 251,2012,5,10,2017,3,-R7 051,R7 201,2015,5,13,2020,3,-R2 820,R4 380,2018,5,16,2023,3,-R1 128,R3 252,2021,5,19,2026,3,-R451,R2 801,2024,5,22,2029,1,-R60,R2 741,2025,,,,,,,,,,,,,,,R2 741,R43 630,-R40 889,
MB-0050/36,,,M1-00001,,,2300,,,B0050J1140CC,,1649,1140,,Joval Big Ball Roll-on Bottle HD,,10,,HDPE,"15,0",510,UNILOY,INJBLOW,INJBLOW-ROBOTT,ROBOTT,D: Roll-on,2003,Other,JOMAR,2009,,,R637 341,,,"22,0",R1 864 389,,,X,R0,R0,R0,"22,9","25,0",,,2300,Active,Bowler,,,,,BOWLER,2009,,,DR DD 03/02/2009 - MOULD MOD DD 20/08/2012 - CONVERSION FROM RECKITT TO STANDARD JOMAR MOULD,,,,S,,2003/06/30,,,,,,,,,31 702 140,3 170 214,2015/08/27,2015,2003/06/30,Risk of more shots,"20,0","7,8",407 296,33 941,8 125 835,"-20,0","0,0",,,,,2004/11/01,"1,3",2004,R637 341,R0,FARAct_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0050/37,,,,,,,,,,,627,,,50g Baby Powder Cavity 6 - 8 HDPE,,3,MB-0050/19 & 39,HDPE,"13,5",606,CC 10S,BLOW,BLOW-BOTTLE,BOTTLE,A: EBM,2003,Bowler,Bowler,2003,,,,,R46 663,"22,0",R136 500,,,EBM A-3,R40 950,R95 550,R136 500,"22,9","15,0",,,2100,Dormant,Customer,,,,,JAJ,2003,"R90 000,00",,DR DD 25/06/2003,,JAJ,,C,JAJ,2003/06/30,,,,,,,,,0,0,,,2003/06/30,,"0,0","0,0",-,-,-,"0,0","0,0",,,,,,,,,,CustDor_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0050/39,,,,,,,,,,,627,,,50g Talc Bottle Cavity 51 - 55 HDPE,,5,MB-0050/19 & 37,HDPE,"13,5",606,CC 10S,BLOW,BLOW-BOTTLE,BOTTLE,A: EBM,2003,Other,,,,,,,R0,"22,0",R0,,,EBM A-5,R59 378,R138 548,R197 925,"22,9","15,0",,,Destroy,Destroy,Customer,,,,,JAJ,,,,DESTROYED AS PER CERTIFICATE OF DESTRUCTION DD 28/09/2022,,JAJ,,C,JAJ,2003/06/30,,28/08/2017,,,,,,,2844709,"568941,8",2015/08/05,2015,2003/06/30,,"20,0","7,8",72 534,6 044,1 447 095,"-20,0","0,0",,,,,,,,,,CustDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0050/40,,,,,,2300,,,B0050H1669CA,,1669,,,50ml Status Roll On Bottle,,8,,BLEND,"15,0",450,UNILOY,INJBLOW,INJBLOW-ROBOTT,ROBOTT,D: Roll-on,2014,Other,,2014,YES,100%,,R1 250 000,R1 250 000,"11,0",R2 137 924,,,X,R0,R0,R0,"11,4","15,0",,,2300,Active,Customer,,,,,AMKA,2014,"R1 250 000,00",,"MOULD ORDER DD 03/02/2014 - COST R1,25 MILLION - 30 MIL/3YR @ R0,14 - AMORT COMPLETE 12/09/2017",100,AMKA,,C,AMKA,2014/12/18,,,,,,,,,28 817 547,3 602 193,2015/08/03,2015,2014/12/18,Risk of more shots,"8,5","7,8",458 918,38 243,3 888 860,"-8,5","0,0",,,,,,,,,,CustAct_O_Amort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MB-0050/41,,,,,,,,,B0050J1657CB,,1657,,,Justine Big Ball Roll-on Bottle HD (Cav. 1 - 10),,10,,HDPE,"13,8",651,UNILOY,INJBLOW,INJBLOW-ROBOTT,ROBOTT,D: Roll-on,2015,Other,,2013,YES,100%,,,R105 900,"10,0",R172 500,,,EBM RB-10,R43 125,R129 375,R172 500,"10,7","15,0",,,2300,Dormant,Customer,,,,,AVON JUSTINE,2013,,,"2,4 MIL/3YR @ R0,25 - AMMORTISATION COMP 05/11/2015 - R2 MIL RECOUPED FROM AMORT",100,AVON JUSTINE,,C,AVON JUSTINE,2015/08/17,,04/02/2019,,,,,,,8192413,"819241,3",2015/08/03,2015,2015/08/03,,"7,8","7,8",104 371,8 698,819 241,"-7,8","0,0",,,,,,,,,,CustDor_O_Amort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
