UPDATE DR,,,,,,,,OWNERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDENTIFICATION DETAILS,,,,,,,,,,,Skye,122 owned moulds came over from Skye….,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNERSHIP,,,,,,,,,,DATES,,,,PRODUCTION DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MouldNumber,Mould Number (Inserts),Mould Number (Inserts 2),FAR,Asset QR code,Discontinuation Number,Location,skye catalogue stds,Mould Index,Mould Code,Mould Number on Mould,Drawing No.,2nd Drawing No.,3rd Drawing No.,Mould Description,2nd Mould Description,Cavities,Linked Mould,Material,Weight G,Packaging,Preferred Machine,Manuf. Process,Manf. Shape,Shape,Business Line,Start Year (A),Mould Source 1,Mould Source 2,Date Mould Ordered,Amort,Comp,FAR Historical Cost,Historical Mould Cost as per Other on File,Historical Cost Extrapolated,Years Until 'Now',Estimated 'Now' Cost,Mould Cost - actual,Mould Cost Current,Mould Type Code,DL Mould  cost - material,DL Mould cost - labour,DL Mould cost - total,Current Age (Years),Usefull Life (A),Value Categories,Say Current Replacment Value (A),Location+K:AK,Status (B),Owner 1,NO OF MOULDS,Mould Family (Parent WC #),Notes on Mould Family,Other Specific Mould Notes,Owner 2,Date of Mould Order or Acquisition from?,Cost of Mould @ time of mould order,Additional Costs for Mould Mods,Notes on Ownership,Ammort. % @ 11/05/22,Exclusivity,Notes on Exclusivity,Custom / Standard,Main / Only Customer,Start Date,Notes on Start Date,Last production Date,Date No Longer Active,Shots Capability,Longevity' - High / Medium / Low,Notes on 'Longevity',Mould Condition - Good / Average / Poor,Date of Assessment of Condition,Total Units Since 2015,Total Shots,Date of 1st shot,Year,Earliest Start Date,2023/06/07,Years From Earliest Date,Years for Shot Data,Shots per Year,Shots per Month,Estimated Lifetime Shots,Years Remaining,Estimated Useful Life,Year Now,2025,Cost escalation %,"5,0%",FAR Start Date,FAR Start > DB Start (Years),FAR Start Year,#N/A,FAR Value vs. DB Value,Mould Class,Historical Cost Extra,Residual Value,Year Start,Default Useful Life,Default End of Life,Default Years of Dep,Default Accum Dep,Default NBV,Year of Default NBV,Extend #1,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #1 NBV,Year of Extend #1 NBV,Extend #2,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #2 NBV,Year of Extend #2 NBV,Extend #3,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #3 NBV,Year of Extend #3 NBV,Extend #4,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #4 NBV,Year of Extend #4 NBV,Extend #5,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #5 NBV,Year of Extend #5 NBV,Extend #6,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #6 NBV,Year of Extend #6 NBV,Extend #7,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #7 NBV,Year of Extend #7 NBV,Estimate NBV FY'24,Cost,Acc Dep,check:
IML2,,,,,,,,MI-0615/0631,,,575,,,In Mould Labelling 450ml STD Light Weight Jar,,4,MI-0615 & MI-0631,PPH,"32,8",160,320T,INJ,INJ-JAR,JAR,F: IM Jars,2022,Bowler,Bowler,2022,,,,,R348 647,"3,0",R403 602,,R600 000,IM JARSL-4 L,R0,R0,R600 000,"4,0","15,0",,,2100,Active,Bowler,,,,,BOWLER,,,,NOTE: CAV 5-8 IS MI-0615 & CAV 1-4 IS MI-0631,,,,S,,2022/04/29,,,,,,,,,147 172,36 793,2022/04/29,2022,44680,,"1,1","1,1",33 241,2 770,36 793,"-1,1","0,0",,,,,,,,,,BowDor_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IML4,,,,,,,,,,,2063,,,500ml Eve IML Jar PP/HDPE,,4,MI-0632/A,PPH,"37,0",160,200T,INJ,INJ-JAR,JAR,F: IM Jars,,,,,,,,,,,,,,,,,,,,,,,,Bowler,,,,,BOWLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1001P,,,2300FAS00035,,,,,,,,1198,,,100ML BOSTON ROUND 24/410,,7,MBP-032,PET,"13,5",714,AOKI,INJBLOW,INJBLOW-BOTTLE,BOTTLE,C: PET Bottle,2020,Other,AOKI,2020,,,R534 630,,,"5,0",R682 338,,R216 000,X,R0,R0,R0,"5,5","15,0",,,2300,Dormant,Bowler,,,,,BOWLER,2020,"R534 629,70",,MOULD ORDER 15/06/2020 DUE TO CAPACITY ISSUES - ACQUIRED WITH M1013P,,,,S,,2020/11/30,,,,,,,,,,,,,,,,,,,,,,,,,,2021/04/20,"0,4",2021,R534 630,R0,FARDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1002P,M1002P/A,,2300FAS00036,,,,,,P0100G1336BA,,1336,1336/A,,100ML TISSUE OIL,100ML TISSUE OIL (CHAMPAGNE BASE) - ONLY BASES,7,MBP-040/M1113P,PET,"13,5",660,AOKI,INJBLOW,INJBLOW-BOTTLE,BOTTLE,C: PET Bottle,2021,Other,HABITAT,2020,,,R94 500,R94 500,,"4,0",R113 500,,R216 000,X,R0,R0,R0,"5,3","15,0",,,2300,Active,Bowler,2,,,,BOWLER,2020,"R94 500,00",,"MOULD ORDER DD 18/11/2020 - R94 500,00 BY HABITAT - CAPACITY CONSTRAINTS - ADDITIONAL MOULD ON AOKI - CHAMPAGNE INSERTS MADE BY BOWLER IN 2023",,,,S,,2021/01/15,,,,,,,,,-,-,,,1900/01/00,,"0,0","0,0",-,-,-,"0,0","0,0",,,,,2021/04/20,"0,3",2021,R94 500,R0,FARAct_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1003P,,,2300FAS00106,,,,,,P0200E1945BA,,1945,,,200ml Smirnoff PET Clear Bottle - AOKI,,5,MBJ-095,PET,"29,5",3 437,AOKI,INJBLOW,INJBLOW-BOTTLE,BOTTLE,C: PET Bottle,2024,Other,AOKI,2021,,,R96 850,,,"1,0",R101 693,R643 832,,X,R0,R0,R0,"2,1","15,0",,,2300,Active,Bowler,2,,,,BOWLER,2021,"R643 832,40","R98 507,11","MOULD ORDER DD 2021 - COST R2 146 108 - INCLUDES INJECTION, BLOW AND 2ND NO LOGO SHELLS - 30% GIVEN TO BLOW MOULD R643 832,40, MOULD BASE OF 1 CAV R98 507,11 FR AOKI ON 20/05/2024 - 4 CAV MADE BY TOOLROOM @ R46 000",,DIAGEO,,C,DIAGEO,2024/04/20,CAPACITY- MOULD ORDER,,,,,,,,-,-,,,1900/01/00,,"0,0","0,0",-,-,-,"0,0","0,0",,,,,2024/04/20,"0,0",2024,R96 850,R0,FARAct_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1004P,,,,,,,,,,N94801,IPET-056,,,5G PREFORM INJECTION MOULD - 20/410 - MB50 - S,,5,,PET,"5,0",-,MB50,INJ,INJ-PREF,PREF,B: Preform,2022,Other,Skye,2022,,,,,R246 044,"3,0",R284 827,,R445 000,X,R0,R0,R0,"4,0","15,0",,,2300,Active,Bowler,,,,,BOWLER,2022,,,RECEIVED WITH SKYE ACQUISITION - MARCH 2022,,,,S,,2022/04/30,SKYE,,,,,,,,-,-,,,1900/01/00,,"0,0","0,0",-,-,-,"0,0","0,0",,,,,,,,,,BowActSkye_O,R246 044,R2 500,2022,10,2032,3,-R73 063,R172 981,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R172 981,R246 044,-R73 063,
M1005P,,,2300FAS00017,,,,,,,41-8-N96697,IPET-001,41-1101-01S,,"5,5G PREFORM INJECTION MOULD - 17MM - MB50",,6,,PET,"5,5",-,MB50,INJ,INJ-PREF,PREF,B: Preform,2019,Other,NISSEI,2019,,,R210 237,,,"6,0",R284 827,,R460 000,X,R0,R0,R0,"7,0","15,0",,,2300,Active,Bowler,,,,,BOWLER,2019,"R358 800,00",,BOUGHT 2019,,,,S,,2019/05/30,TBAC,,,,,,,,-,-,,,1900/01/00,,"0,0","0,0",-,-,-,"0,0","0,0",,,,,2020/03/01,"0,8",2020,R210 237,R0,FARAct_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1006P,,,,,,,,,,N94801,IPET-047,,,6G PREFORM INJECTION MOULD - 20/410 - MB50 - S,,5,,PET,"6,0",-,MB50,INJ,INJ-PREF,PREF,B: Preform,2022,Other,Skye,2022,,,,,R246 044,"3,0",R284 827,,R445 000,X,R0,R0,R0,"4,0","15,0",,,2300,Active,Bowler,,,,,BOWLER,2022,,,RECEIVED WITH SKYE ACQUISITION - MARCH 2022,,,,S,,2022/04/30,SKYE,,,,,,,,-,-,,,1900/01/00,,"0,0","0,0",-,-,-,"0,0","0,0",,,,,,,,,,BowActSkye_O,R246 044,R2 500,2022,10,2032,3,-R73 063,R172 981,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R172 981,R246 044,-R73 063,
M1007P,,,,,,,,,,N91898,IPET-064,,,8G PREFORM INJECTION MOULD - 20/410 OR 20/415 - MB50 - S,,5,,PET,"8,0",-,MB50,INJ,INJ-PREF,PREF,B: Preform,2022,Other,Skye,2022,,,,,R246 044,"3,0",R284 827,,R445 000,X,R0,R0,R0,"4,0","15,0",,,2300,Active,Bowler,,,,,BOWLER,2022,,,RECEIVED WITH SKYE ACQUISITION - MARCH 2022,,,,S,,2022/04/30,SKYE,,,,,,,,-,-,,,1900/01/00,,"0,0","0,0",-,-,-,"0,0","0,0",,,,,,,,,,BowActSkye_O,R246 044,R2 500,2022,10,2032,3,-R73 063,R172 981,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R172 981,R246 044,-R73 063,
M1008P,,,,,,,,,,40-8-N96362,IPET-002,40-1136-00S,,8G PREFORM INJECTION MOULD - 24/410 -  MB50,,5,,PET,"8,0",-,MB50,INJ,INJ-PREF,PREF,B: Preform,2016,Other,NISSEI,2018,,,,,R183 602,"9,0",R284 827,,R445 000,X,R0,R0,R0,"10,0","15,0",,,2300,Active,Bowler,,,,,BOWLER,2018,,,BOUGHT 2018,,,,S,,2016/05/30,,,,,,,,,-,-,,,1900/01/00,,"0,0","0,0",-,-,-,"0,0","0,0",,,,,,,,,,BowAct_O,R183 602,R2 500,2016,7,2023,5,-R129 359,R54 243,2021,5,10,2026,3,-R31 046,R23 197,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R23 197,R183 602,-R160 405,
