"Pre-Prod No.,Date,Weeks Taken (or parts thereof),Age Category,Project Age (Open and Closed),Open or closed,Completion date,Client,Project Description,Category,Raw Code,Works Order,Product Code,Sales Rep,Repeat Job,Machine,Material,Artwork required,Artwork Received,Size of Eyemark,Date Sent on Proof,Proof,Proof Approved (Conventional),Proof Approved (Digital),Digital trial sent,Sent on Trial,Trial approved,Revised Artwork After Trialling,""Product Material Colour (tube, jar etc.)"",Diameter,Length,Cap_Lid Colour,Cap_Lid Diameter,Cap_Lid Material,Cap_Lid Style,Tube Shoulder colour,Orifice,Other Cap_Lid Info,Comments,Dust Controlled Area,Extrusion requested,Extrusion received,Injection trial requested,Injection trial received,Blowmould trial requested,Blowmould trial received,Masterbatch requested,Masterbatch received,Month,Month Name,New Mould_ Client or Product,Unit Order No,Order Qty x1000,Ordered Plates,Plates Arrived,Status,Year,comments,Unit Order No_dig,Qty_Including Waste,Artwork Order,Due for SAESA,Order,Digital Trial,Trial approved_dig,Revised Artwork After Trialling_dig,Foil,Cap_Lid Style_dig,Digital Trial No,T1_Date,Retrial T2,Retrial T3,Retrial T4,Retrial T5,Trial Comments"
8503,2011-07-01,-5817.857142857143,,5421,Open,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,July,,,,,,No order,2011.0,,,,,,,,,,,,,,,,,,
21047,2026-03-02,,> 6 Months,63,Open,,Unilever,Tube 50x190/10 Coex Gold - label,Tube and Cap,,,C50TBLEV043F,Wayne,,EXTRUSION,COEX,,,,,,,,,,,,Gold,50.0,190.0,Tnt Blue,48,PP,F/T B/O,Natural,10.0,,,,,,,,,,,,,,New,217478/2,4.0,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21048,2026-03-02,,> 6 Months,63,Open,,Unilever,Tube 35x120/10 Coex Gold - label,Tube and Cap,,,C35TBLEV015F,Wayne,,EXTRUSION,COEX,,,,,,,,,,,,Gold,35.0,120.0,Tnt Blue,33,PP,F/T B/O,Natural,10.0,,,,,,,,,,,,,,New,217480/1,2.0,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21049,2026-03-03,,> 6 Months,62,Open,,Great Legends,Hand Wash bottle 100ml - Amber PET,PET,,,,Peter,,,PET,,,,,,,,,,,,Amber,,,,,,,,,,,,,,,,,,,,,,New,,,,,No order,,,,,,,,,,,,,,,,,,,
21050,2026-03-03,,> 6 Months,62,Open,,CW Pharmaceuticals,Paw Paw Ointment 35g,Tube and Cap,,,,Senate,,DUBUIT,COEX,,,,,,,,,,,,Red,25.0,110.0,Red,24,PP,A,Red,4.0,,,,,,,,,,,,,,New,,,,,No order (a/w),,,,,,,,,,,,,,,,,,,
21051,2026-03-03,,> 6 Months,62,Open,,Canway,24/410 F/T  Cap - Pink,Cap,,,,Wayne,,INJECTION,,,,,,,,,,,,,,,,Pink,,PP,,,,,,,,,,,,,,,,,New,,,,,No order,,,,,,,,,,,,,,,,,,,
21052,2026-03-03,7.0,,62,Closed,2026-04-15,Canway,100ml Umbrella Cap T2842/1,Cap,,,CCAPOBRI269F,Wayne,,INJECTION,,,,,,,,,,,,,,,,Beige,,PP,,,,,,,,,,,,,,,,,New,216295/0,20.0,,,Order,,,,,,,,,,,,,,,,,,,
21053,2026-03-03,,> 6 Months,62,Open,,Canway,100ml Umbrella Cap - Bronze,Cap,,,,Wayne,,INJECTION,,,,,,,,,,,,,,,,Bronze,,PP,,,,,,,,,,,,,,,,,New,,,,,No order,,,,,,,,,,,,,,,,,,,
21054,2026-03-04,,> 6 Months,61,Open,,Amka Products,Honey Herbal Original Body Lotion 600ml,Bottle,,,,Karen,,K9,HDPE,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,,,,,,New,,,,,No order,,,,,,,,,,,,,,,,,,,
21055,2026-03-04,,> 6 Months,61,Open,,Amka Products,Honey Herbal Cocoa Body Lotion 600ml,Bottle,,,,Karen,,K9,HDPE,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,,,,,,New,,,,,No order,,,,,,,,,,,,,,,,,,,
21056,2026-03-04,,> 6 Months,61,Open,,Amka Products,Honey Herbal Aloe Vera Body Lotion 600ml,Bottle,,,,Karen,,K9,HDPE,,,,,,,,,,,,Natural,,,,,,,,,,,,,,,,,,,,,,New,,,,,No order,,,,,,,,,,,,,,,,,,,
