Pre-Prod No.;Product Code;Works Order;Unit Order No;Raw Code;Sales Rep;Client;Description;Qty_Including Waste;Artwork Order;Due for SAESA;Diameter;Material;Length;Orifice;Order;Proof;Proof Approved (Digital);Digital Trial;Digital Trial No;Trial approved;Revised Artwork After Trialling;Foil;Cap_Lid Style;Status;Closed;Repeat Job;T1_Date;Retrial T2;Retrial T3;Retrial T4;Retrial T5;Trial Comments
12216_7;C25LTNTR000F (Add 6);W00148014;#NAME?;CLAM082NTR000W;Rob;Nutriwoman;Nutriwoman Mattifying Hydrator 40ml;3200;AG009  ;x;25;ABL Silver;120;4;x;x;x;Repeat;Repeat;Repeat;0;;A;;closed;x;;;;;;
12684_7;C35LTBRI010F (Add 6);W00148078;#NAME?;CLAM113BRI010W;Seelan;Britec Labs;Creamy Caress 75ml;10900;P/O 013  ;x;35;PBL;120;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
14788_4;C35LTCAT034F (Add 3);W00148068;#NAME?;CLAM113CAT034W;Rob;Catwalk;Cocoa Heaven Hand & Nail Cream - 75ml;22000;repeat;x;35;PBL;125;4;x;x;x;Repeat;Repeat;Repeat;0;;A;;closed;x;;;;;;
14546_2;C35LTNFR006F (Add 1);W00148048;#NAME?;CLAM113NFR006W;Rob;Nature Fresh;Junior Toothpaste 75ml;4700;PO100806  ;x;35;PBL;120;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
14546_1;C35LTNFR006F (Add);W00148044;#NAME?;CLAM113NFR006W;Rob;Nature Fresh;Junior Toothpaste 75ml;7000;PO100806  ;x;35;PBL;120;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
15473;C40LTALO028F;W00147803;159531/0;CLAM129ALO028W;Warren;Aloe Ferox;Sun Care Lotion SPF50 150ml;2500;POA10234 - -;x;40;PBL;165;4;x;x;x;x4/2;1;43868;0;;A;;closed;New;2020/02/04;;;;;
14547_2;C40LTNFR008F (Add 1);W00148052;#NAME?;CLAM129NFR008W;Rob;Nature Fresh;Anti-Microbial Toothpaste 100ml;3800;PO100806  ;x;40;PBL;120;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
14548_2;C40LTNFR009F (Add 1);W00148039;#NAME?;CLAM129NFR009W;Rob;Nature Fresh;Aloe And Propopolis Toothpaste 100ml;6800;PO100806  ;x;40;PBL;120;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
15230_2;C35LTCAT044F (Add 1);W00148062;#NAME?;CLAM113CAT044W;Rob;Catwalk;Magnolia Hand and Nail 75ml;32000;repeat;x;35;PBL;125;4;x;x;x;Repeat;Repeat;Repeat;0;;A;NB: Colour may need to be adjusted;closed;x;;;;;;
15230_3;C35LTCAT044F (Add 2);W00148065;#NAME?;CLAM113CAT044W;Rob;Catwalk;Magnolia Hand and Nail 75ml;32000;repeat;x;35;PBL;125;4;x;x;x;Repeat;Repeat;Repeat;0;;A;;closed;x;;;;;;
10371_4;C35LTNFR002F (Add 3);W00148060;#NAME?;CLAM113NFR002W;Rob;Nature Fresh;First Aid Balm 75ml;3200;repeat;x;35;PBL;120;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
14837_3;C35LTCAT036F (Add 2);W00148029;#NAME?;CLAM113CAT036W;Rob;Catwalk;Lavender Hand and Nail Cream 75ml;10600;repeat;x;35;PBL;125;4;x;x;x;Repeat;Repeat;Repeat;0;;A;;closed;x;;;;;;
14547_3;C40LTNFR008F (Add 2);W00148057;#NAME?;CLAM129NFR008W;Rob;Nature Fresh;Anti-Microbial Toothpaste 100ml;3800;PO100806  ;x;40;PBL;120;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
15502;C35LTSPA008F;W00148743;159715/2;CLAM113SPA008W;Karen;Spanjaard;Non Melt Grease 100g;3500;SN 01274 / SN01367 SN 01367 SN 01367;x;35;ABL White;180;4;x;x;x;x27/7;2;FALSE;0;;A;Retrialled with 'finer'  emergency text;closed;New;2020/07/20;2020/07/27;;;;T2: Client wanted finer emergency text
15504;C40LTPHA000F;W00148620;159766/0;CLAM129PHA000W;Natalie;Divpharm;T Sooth Gel 100ml;4700;10180 - -;x;40;PBL;120;10;x;x;x;x19/3;3;43915;0;;F/T B/O;;closed;New;2020/03/04;2020/03/09;2020/03/19;;;
15505;C35LTPHA000F;W00148115;159765/1;CLAM113PHA000W;Natalie;Divpharm;T Soothe Gel 50ml;3700;10180 - -;x;35;PBL;90;10;x;x;x;x19/3;3;43915;0;;F/T B/O;;closed;New;2020/03/04;2020/03/09;2020/03/19;;;
