Date;Pre-Prod No.;Product Code;Category;New Mould/ Client or Product;Status;Project Description;Client;Sales Rep;Unit Order No;Order Qty x1000;Product Material Colour (tube, jar etc.);Length;Material;Orifice;Diameter;Tube Shoulder colour;Cap_Lid Colour;Cap_Lid Diameter;Cap_Lid Style;Cap_Lid Material;Other Cap_Lid Info; Dust Controlled Area;Artwork required;Artwork Received;Ordered Plates;Plates Arrived;Sent on Trial;Trial approved;Machine;Trial Week Achieved;Trial Week;Trial Promised Week;Red or Green Status;Sleeve (Yes = X);Sleeving;Tube Extrusion;Foiling;Injection Mould ;Blow Mould;Hinterkopf;Pad Printer;Dubuit;Moss Silkscreen;Omso Silkscreen;Omso Offset;K9 Silkscreen;Kamman Silkscreen;Digital;Comments;Incoming wk no;Incoming Month no;Weeks Taken (or parts thereof);Open or closed;Completion date;Project Age (Days taken Open Projects);Age Category;Project Age (Open and Closed);Proof Approved (Conventional);Proof Approved (Digital);Masterbatch requested;Masterbatch received;Injection trial requested;Injection trial received;Blowmould trial requested;Blowmould trial received;Extrusion requested;Extrusiuon received;Digital trial sent;Digital trial received (actual dates have replaced crosses for latest trials);Year;Month;Month Name
02/03/2026;21047;;Tube and Cap;New;No order (a/w);Tube 50x190/10 Coex Gold;Unilever;Wayne;;;Gold;190;COEX;10;50;Natural;Tnt Blue;48;F/T B/O;PP;;;;;;;;;EXTRUSION;;;;;;;;;;;;;;;;;;;;;;;#N/A;Open;;1;< 6 Weeks;1;;;;;;;;;;;;;;;
02/03/2026;21048;;Tube and Cap;New;No order (a/w);Tube 35x120/10 Coex Gold;Unilever;Wayne;;;Gold;120;COEX;10;35;Natural;Tnt Blue;33;F/T B/O;PP;;;;;;;;;EXTRUSION;;;;;;;;;;;;;;;;;;;;;;;#N/A;Open;;1;< 6 Weeks;1;;;;;;;;;;;;;;;
03/03/2026;21049;;PET;New;No order;Hand Wash bottle 100ml - Amber PET;Great Legends;Peter;;;Amber;;PET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;#N/A;Open;;;< 6 Weeks;;;;;;;;;;;;;;;;
03/03/2026;21050;;Tube and Cap;New;No order (a/w);Paw Paw Ointment 35g;CW Pharmaceuticals;Senate;;;Red;110;COEX;4;25;Red;Red;24;A;PP;;;;;;;;;DUBUIT;;;;;;;;;;;;;;;;;;;;;;;#N/A;Open;;;< 6 Weeks;;;;;;;;;;;;;;;;
03/03/2026;21051;;Cap;New;No order;24/415 F/T Cap - Pink;Canway;Wayne;;;;;;;;;Pink;;;PP;;;;;;;;;INJECTION;;;;;;;;;;;;;;;;;;;;;;;#N/A;Open;;;< 6 Weeks;;;;;;;;;;;;;;;;
03/03/2026;21052;;Cap;New;No order;100ml Tissue Oil Cap T2842/1;Canway;Wayne;;;;;;;;;Beige;;;PP;;;;;;;;;INJECTION;;;;;;;;;;;;;;;;;;;;;;;#N/A;Open;;;< 6 Weeks;;;;;;;;;;;;;;;;
03/03/2026;21053;;Cap;New;No order;100ml Tissue Oil Cap - Bronze;Canway;Wayne;;;;;;;;;Bronze;;;PP;;;;;;;;;INJECTION;;;;;;;;;;;;;;;;;;;;;;;#N/A;Open;;;< 6 Weeks;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
